Step_ID,Trigger_Type,Trigger_Param,Dialogue_Lines,Objectives,Rewards,Highlight_Key,Waiting_Hint,Quest_Title
forge_unlock_intro,LevelReached,5,영지 레벨이 올라 대장간을 이용할 수 있게 되었어요.,,,,영지레벨 8레벨 달성하기,
forge_ui_intro,Manual,,대장간에서는 도구를 강화/승급/연마/전승할 수 있어요.;강화는 단계를 올리고 10단계에 도달하면 승급할 수 있어요.;연마로 추가 효과를 붙이고 전승으로 옵션을 다른 도구에 옮길 수 있어요.,,,forge_button,영지레벨 8레벨 달성하기,
exploration_unlock_intro,LevelReached,5,영지 레벨이 올라 탐험대를 이용할 수 있게 되었어요.,,,,영지레벨 8레벨 달성하기,
exploration_ui_intro,Manual,,탐험대에서는 포획한 멤을 배치해 자동으로 탐사를 보낼 수 있어요.;모든 웨이포인트를 해금해야 탐험대를 이용할 수 있어요.,,,exploration_button,영지레벨 8레벨 달성하기,
expedition_dispatch_guide,Manual,,탐험대에 포획한 멤을 배치하고 탐험을 시작해보세요.;시간이 지나면 자동으로 탐사 결과를 받아볼 수 있어요.,,item_baseblueprint:1,,영지레벨 8레벨 달성하기,도구 강화와 탐험대
cooking_unlock_intro,LevelReached,8,영지 레벨이 올라 모닥불과 목장을 해금할 수 있게 됐어요.,territory_level:영지 레벨:8,item_baseblueprint:1,,영지레벨 8레벨 달성하기,영지 발전 2
cooking_facility_guide,Manual,,모닥불을 설치하고 요리를 진행할 수 있습니다.,,,,영지레벨 10레벨 달성하기,
shop_cookbook_guide,Manual,,요리 레시피는 상점에서 요리책을 구매하면 무작위로 요리 레시피가 해금돼요.,,,,영지레벨 10레벨 달성하기,
cooking_practice_guide,Manual,,해금한 레시피와 재료로 요리를 만들어보세요.;완성된 요리는 허기 회복은 물론 다양한 효과를 줘요.,,gold:10000,,영지레벨 10레벨 달성하기,더 좋은 음식
livestock_farm_intro,Manual,,목장에 멤을 배치하면 멤마다 정해진 특수품을 시간마다 자동으로 얻을 수 있어요.,,,,영지레벨 10레벨 달성하기,
next_quest,LevelReached,11,다음 업데이트를 기다려주세요.,territory_level:영지 레벨:11,,,편지 기다리기,
